verif_code,userid,itemid,key_press,rt
00d7tjeoeaj803jasp,3,7,2,1041
00d7tjeoeaj803jasp,3,8,2,1810
00d7tjeoeaj803jasp,3,9,2,2415
00d7tjeoeaj803jasp,3,10,2,1735
00d7tjeoeaj803jasp,3,11,2,1641
00d7tjeoeaj803jasp,3,12,2,1943
00d7tjeoeaj803jasp,3,13,2,2243
00d7tjeoeaj803jasp,3,14,2,1720
00d7tjeoeaj803jasp,3,15,2,1610
00d7tjeoeaj803jasp,3,16,1,2108
00d7tjeoeaj803jasp,3,17,2,2626
00d7tjeoeaj803jasp,3,18,2,2867
00d7tjeoeaj803jasp,3,19,2,1406
00d7tjeoeaj803jasp,3,20,1,2197
00d7tjeoeaj803jasp,3,21,1,1700
00d7tjeoeaj803jasp,3,22,2,1489
00d7tjeoeaj803jasp,3,23,2,1360
00d7tjeoeaj803jasp,3,24,1,969
00d7tjeoeaj803jasp,3,25,2,1740
0146wx11h9kkyw389s,4,1,1,1295
0146wx11h9kkyw389s,4,2,2,2685
0146wx11h9kkyw389s,4,3,2,1956
0146wx11h9kkyw389s,4,4,1,1370
0146wx11h9kkyw389s,4,5,1,1764
0146wx11h9kkyw389s,4,6,2,1997
0146wx11h9kkyw389s,4,7,1,4118
0146wx11h9kkyw389s,4,8,1,2031
0146wx11h9kkyw389s,4,9,2,1772
0146wx11h9kkyw389s,4,10,2,2094
0146wx11h9kkyw389s,4,11,1,1646
0146wx11h9kkyw389s,4,12,1,2376
0146wx11h9kkyw389s,4,13,1,3001
0146wx11h9kkyw389s,4,14,1,3530
0146wx11h9kkyw389s,4,15,2,3809
0146wx11h9kkyw389s,4,16,2,3281
0146wx11h9kkyw389s,4,17,2,1687
0146wx11h9kkyw389s,4,18,2,2276
0146wx11h9kkyw389s,4,19,1,1687
0146wx11h9kkyw389s,4,20,1,3404
0146wx11h9kkyw389s,4,21,1,2526
0146wx11h9kkyw389s,4,22,2,2459
0146wx11h9kkyw389s,4,23,2,5122
0146wx11h9kkyw389s,4,24,1,1526
0146wx11h9kkyw389s,4,25,2,2226
017mkogy0knqqkkyqq,5,1,1,3114
017mkogy0knqqkkyqq,5,2,1,4034
017mkogy0knqqkkyqq,5,3,2,2709
017mkogy0knqqkkyqq,5,4,1,3010
017mkogy0knqqkkyqq,5,5,2,2642
017mkogy0knqqkkyqq,5,6,1,4160
017mkogy0knqqkkyqq,5,7,2,6074
017mkogy0knqqkkyqq,5,8,1,4006
017mkogy0knqqkkyqq,5,9,1,4401
017mkogy0knqqkkyqq,5,10,2,4224
017mkogy0knqqkkyqq,5,11,1,2479
017mkogy0knqqkkyqq,5,12,2,2580
017mkogy0knqqkkyqq,5,13,1,4503
017mkogy0knqqkkyqq,5,14,2,3854
017mkogy0knqqkkyqq,5,15,2,1889
017mkogy0knqqkkyqq,5,16,2,5914
017mkogy0knqqkkyqq,5,17,2,5999
017mkogy0knqqkkyqq,5,18,1,3281
017mkogy0knqqkkyqq,5,19,2,2858
017mkogy0knqqkkyqq,5,20,1,7721
017mkogy0knqqkkyqq,5,21,1,2721
017mkogy0knqqkkyqq,5,22,1,3489
017mkogy0knqqkkyqq,5,23,1,4243
017mkogy0knqqkkyqq,5,24,1,1874
017mkogy0knqqkkyqq,5,25,1,4520
0668hyfozl6v97afjw,6,1,1,2126
0668hyfozl6v97afjw,6,2,1,13720
0668hyfozl6v97afjw,6,3,1,7300
0668hyfozl6v97afjw,6,4,1,3821
0668hyfozl6v97afjw,6,5,1,2488
0668hyfozl6v97afjw,6,6,1,2208
0668hyfozl6v97afjw,6,7,2,7488
0668hyfozl6v97afjw,6,8,1,3606
0668hyfozl6v97afjw,6,9,1,1734
0668hyfozl6v97afjw,6,10,1,4166
0668hyfozl6v97afjw,6,11,1,2849
0668hyfozl6v97afjw,6,12,1,5775
0668hyfozl6v97afjw,6,13,2,3488
0668hyfozl6v97afjw,6,14,2,3350
0668hyfozl6v97afjw,6,15,1,6160
0668hyfozl6v97afjw,6,16,2,2760
0668hyfozl6v97afjw,6,17,2,3326
0668hyfozl6v97afjw,6,18,1,3888
0668hyfozl6v97afjw,6,19,2,2983
0668hyfozl6v97afjw,6,20,2,4041
0668hyfozl6v97afjw,6,21,1,2119
0668hyfozl6v97afjw,6,22,1,3633
0668hyfozl6v97afjw,6,23,1,3239
0668hyfozl6v97afjw,6,24,1,1777
0668hyfozl6v97afjw,6,25,1,2703
0bu3rqhlgsvb6rn6tx,7,1,2,4722
0bu3rqhlgsvb6rn6tx,7,2,2,4589
0bu3rqhlgsvb6rn6tx,7,3,2,2845
0bu3rqhlgsvb6rn6tx,7,4,1,3613
0bu3rqhlgsvb6rn6tx,7,5,1,4975
0bu3rqhlgsvb6rn6tx,7,6,1,2333
0bu3rqhlgsvb6rn6tx,7,7,2,3143
0bu3rqhlgsvb6rn6tx,7,8,1,2310
0bu3rqhlgsvb6rn6tx,7,9,1,2525
0bu3rqhlgsvb6rn6tx,7,10,2,2717
0bu3rqhlgsvb6rn6tx,7,11,1,2821
0bu3rqhlgsvb6rn6tx,7,12,1,2636
0bu3rqhlgsvb6rn6tx,7,13,1,5285
0bu3rqhlgsvb6rn6tx,7,14,1,3068
0bu3rqhlgsvb6rn6tx,7,15,2,2988
0bu3rqhlgsvb6rn6tx,7,16,2,3990
0bu3rqhlgsvb6rn6tx,7,17,2,2181
0bu3rqhlgsvb6rn6tx,7,18,2,3533
0bu3rqhlgsvb6rn6tx,7,19,2,3628
0bu3rqhlgsvb6rn6tx,7,20,2,3473
0bu3rqhlgsvb6rn6tx,7,21,2,4726
0bu3rqhlgsvb6rn6tx,7,22,1,4285
0bu3rqhlgsvb6rn6tx,7,23,1,5397
0bu3rqhlgsvb6rn6tx,7,24,1,2309
0bu3rqhlgsvb6rn6tx,7,25,2,2725
0dntvdc2zcj77vf4kh,8,1,1,2222
0dntvdc2zcj77vf4kh,8,2,2,2983
0dntvdc2zcj77vf4kh,8,3,2,2943
0dntvdc2zcj77vf4kh,8,4,1,3992
0dntvdc2zcj77vf4kh,8,5,1,3838
0dntvdc2zcj77vf4kh,8,6,2,5068
0dntvdc2zcj77vf4kh,8,7,2,4434
0dntvdc2zcj77vf4kh,8,8,1,6595
0dntvdc2zcj77vf4kh,8,9,2,3597
0dntvdc2zcj77vf4kh,8,10,2,6731
0dntvdc2zcj77vf4kh,8,11,1,6415
0dntvdc2zcj77vf4kh,8,12,2,3078
0dntvdc2zcj77vf4kh,8,13,2,3160
0dntvdc2zcj77vf4kh,8,14,2,4043
0dntvdc2zcj77vf4kh,8,15,2,4994
0dntvdc2zcj77vf4kh,8,16,2,2811
0dntvdc2zcj77vf4kh,8,17,2,3891
0dntvdc2zcj77vf4kh,8,18,1,2866
0dntvdc2zcj77vf4kh,8,19,2,3717
0dntvdc2zcj77vf4kh,8,20,2,2724
0dntvdc2zcj77vf4kh,8,21,1,3794
0dntvdc2zcj77vf4kh,8,22,2,5602
0dntvdc2zcj77vf4kh,8,23,1,3252
0dntvdc2zcj77vf4kh,8,24,2,1929
0dntvdc2zcj77vf4kh,8,25,2,6001
0e702rrwpazjfwpc42,9,1,1,2381
0e702rrwpazjfwpc42,9,2,2,1653
0e702rrwpazjfwpc42,9,3,1,1224
0e702rrwpazjfwpc42,9,4,2,1645
0e702rrwpazjfwpc42,9,5,1,2646
0e702rrwpazjfwpc42,9,6,1,1520
0e702rrwpazjfwpc42,9,7,2,2622
0e702rrwpazjfwpc42,9,8,1,2157
0e702rrwpazjfwpc42,9,9,2,1182
0e702rrwpazjfwpc42,9,10,2,1303
0e702rrwpazjfwpc42,9,11,2,1365
0e702rrwpazjfwpc42,9,12,1,1462
0e702rrwpazjfwpc42,9,13,2,1327
0e702rrwpazjfwpc42,9,14,2,1375
0e702rrwpazjfwpc42,9,15,1,1687
0e702rrwpazjfwpc42,9,16,2,2414
0e702rrwpazjfwpc42,9,17,2,2048
0e702rrwpazjfwpc42,9,18,2,1793
0e702rrwpazjfwpc42,9,19,2,3533
0e702rrwpazjfwpc42,9,20,2,1750
0e702rrwpazjfwpc42,9,21,1,1557
0e702rrwpazjfwpc42,9,22,2,1670
0e702rrwpazjfwpc42,9,23,2,1655
0e702rrwpazjfwpc42,9,24,2,1341
0e702rrwpazjfwpc42,9,25,1,2503
0gaksz8spejauw5z6c,10,1,1,6072
0gaksz8spejauw5z6c,10,2,2,2477
0gaksz8spejauw5z6c,10,3,1,2665
0gaksz8spejauw5z6c,10,4,1,3210
0gaksz8spejauw5z6c,10,5,1,8455
0gaksz8spejauw5z6c,10,6,2,1746
0gaksz8spejauw5z6c,10,7,1,3658
0gaksz8spejauw5z6c,10,8,2,2299
0gaksz8spejauw5z6c,10,9,2,1417
0gaksz8spejauw5z6c,10,10,2,2645
0gaksz8spejauw5z6c,10,11,2,2295
0gaksz8spejauw5z6c,10,12,1,2226
0gaksz8spejauw5z6c,10,13,2,3049
0gaksz8spejauw5z6c,10,14,1,2056
0gaksz8spejauw5z6c,10,15,1,3667
0gaksz8spejauw5z6c,10,16,1,2416
0gaksz8spejauw5z6c,10,17,2,3035
0gaksz8spejauw5z6c,10,18,2,5301
0gaksz8spejauw5z6c,10,19,1,6133
0gaksz8spejauw5z6c,10,20,1,8032
0gaksz8spejauw5z6c,10,21,2,2001
0gaksz8spejauw5z6c,10,22,2,4283
0gaksz8spejauw5z6c,10,23,2,2900
0gaksz8spejauw5z6c,10,24,2,1131
0gaksz8spejauw5z6c,10,25,2,2056
0j4msncm4v0k37b8j5,11,1,1,2479
0j4msncm4v0k37b8j5,11,2,1,3246
0j4msncm4v0k37b8j5,11,3,2,4126
0j4msncm4v0k37b8j5,11,4,1,4327
0j4msncm4v0k37b8j5,11,5,1,3959
0j4msncm4v0k37b8j5,11,6,1,1878
0j4msncm4v0k37b8j5,11,7,2,6101
0j4msncm4v0k37b8j5,11,8,1,2454
0j4msncm4v0k37b8j5,11,9,1,2264
0j4msncm4v0k37b8j5,11,10,1,3263
0j4msncm4v0k37b8j5,11,11,1,3557
0j4msncm4v0k37b8j5,11,12,2,1852
0j4msncm4v0k37b8j5,11,13,1,5670
0j4msncm4v0k37b8j5,11,14,2,3870
0j4msncm4v0k37b8j5,11,15,1,4902
0j4msncm4v0k37b8j5,11,16,1,5968
0j4msncm4v0k37b8j5,11,17,1,5598
0j4msncm4v0k37b8j5,11,18,1,5631
0j4msncm4v0k37b8j5,11,19,2,2670
0j4msncm4v0k37b8j5,11,20,2,9367
0j4msncm4v0k37b8j5,11,21,1,9878
0j4msncm4v0k37b8j5,11,22,1,12249
0j4msncm4v0k37b8j5,11,23,1,7897
0j4msncm4v0k37b8j5,11,24,1,2317
0j4msncm4v0k37b8j5,11,25,1,3888
0klqqyr6g0aq76ltp3,12,1,2,3718
0klqqyr6g0aq76ltp3,12,2,2,6799
0klqqyr6g0aq76ltp3,12,3,1,4775
0klqqyr6g0aq76ltp3,12,4,1,7503
0klqqyr6g0aq76ltp3,12,5,1,3223
0klqqyr6g0aq76ltp3,12,6,2,12742
0klqqyr6g0aq76ltp3,12,7,2,5160
0klqqyr6g0aq76ltp3,12,8,2,4061
0klqqyr6g0aq76ltp3,12,10,2,26351
0klqqyr6g0aq76ltp3,12,11,2,13607
0klqqyr6g0aq76ltp3,12,12,2,7628
0klqqyr6g0aq76ltp3,12,13,1,3965
0klqqyr6g0aq76ltp3,12,14,1,9927
0klqqyr6g0aq76ltp3,12,15,2,5718
0klqqyr6g0aq76ltp3,12,16,1,6134
0klqqyr6g0aq76ltp3,12,17,1,10791
0klqqyr6g0aq76ltp3,12,18,1,7405
0klqqyr6g0aq76ltp3,12,19,2,5429
0klqqyr6g0aq76ltp3,12,20,2,5748
0klqqyr6g0aq76ltp3,12,21,1,5895
0klqqyr6g0aq76ltp3,12,22,2,20112
0klqqyr6g0aq76ltp3,12,23,2,7380
0klqqyr6g0aq76ltp3,12,24,2,2814
0klqqyr6g0aq76ltp3,12,25,1,3766
0l0cvf4zn8mnwxgrhj,13,1,1,1991
0l0cvf4zn8mnwxgrhj,13,2,2,3296
0l0cvf4zn8mnwxgrhj,13,3,1,5023
0l0cvf4zn8mnwxgrhj,13,4,1,1995
0l0cvf4zn8mnwxgrhj,13,5,1,2551
0l0cvf4zn8mnwxgrhj,13,6,1,3307
0l0cvf4zn8mnwxgrhj,13,7,1,5971
0l0cvf4zn8mnwxgrhj,13,8,1,1461
0l0cvf4zn8mnwxgrhj,13,9,2,9318
0l0cvf4zn8mnwxgrhj,13,10,2,3396
0l0cvf4zn8mnwxgrhj,13,11,2,2894
0l0cvf4zn8mnwxgrhj,13,12,1,12464
0l0cvf4zn8mnwxgrhj,13,13,2,2196
0l0cvf4zn8mnwxgrhj,13,14,2,3180
0l0cvf4zn8mnwxgrhj,13,15,1,1870
0l0cvf4zn8mnwxgrhj,13,16,2,2094
0l0cvf4zn8mnwxgrhj,13,17,2,4789
0l0cvf4zn8mnwxgrhj,13,18,2,2543
0l0cvf4zn8mnwxgrhj,13,19,2,3277
0l0cvf4zn8mnwxgrhj,13,20,2,3586
0l0cvf4zn8mnwxgrhj,13,21,1,2300
0l0cvf4zn8mnwxgrhj,13,22,1,7367
0l0cvf4zn8mnwxgrhj,13,23,2,3312
0l0cvf4zn8mnwxgrhj,13,24,1,2821
0l0cvf4zn8mnwxgrhj,13,25,1,2372
0tn7zrrq50o8e8jjzj,14,1,1,3074
0tn7zrrq50o8e8jjzj,14,2,2,8365
0tn7zrrq50o8e8jjzj,14,3,2,5893
0tn7zrrq50o8e8jjzj,14,4,2,5228
0tn7zrrq50o8e8jjzj,14,5,1,3240
0tn7zrrq50o8e8jjzj,14,6,1,2970
0tn7zrrq50o8e8jjzj,14,7,2,4996
0tn7zrrq50o8e8jjzj,14,8,2,6304
0tn7zrrq50o8e8jjzj,14,9,1,2563
0tn7zrrq50o8e8jjzj,14,10,1,5247
0tn7zrrq50o8e8jjzj,14,11,2,11185
0tn7zrrq50o8e8jjzj,14,12,2,9099
0tn7zrrq50o8e8jjzj,14,13,2,6177
0tn7zrrq50o8e8jjzj,14,14,2,5489
0tn7zrrq50o8e8jjzj,14,15,1,12112
0tn7zrrq50o8e8jjzj,14,16,1,9018
0tn7zrrq50o8e8jjzj,14,17,1,7126
0tn7zrrq50o8e8jjzj,14,18,2,8788
0tn7zrrq50o8e8jjzj,14,19,2,3634
0tn7zrrq50o8e8jjzj,14,20,2,4386
0tn7zrrq50o8e8jjzj,14,21,2,5077
0tn7zrrq50o8e8jjzj,14,22,1,5158
0tn7zrrq50o8e8jjzj,14,23,2,5187
0tn7zrrq50o8e8jjzj,14,24,1,1762
0tn7zrrq50o8e8jjzj,14,25,1,4523
0tvcm435klkf7ga1ea,15,1,2,2132
0tvcm435klkf7ga1ea,15,2,2,2380
0tvcm435klkf7ga1ea,15,3,2,1912
0tvcm435klkf7ga1ea,15,4,1,1691
0tvcm435klkf7ga1ea,15,5,2,2907
0tvcm435klkf7ga1ea,15,6,2,1431
0tvcm435klkf7ga1ea,15,7,2,3927
0tvcm435klkf7ga1ea,15,8,1,4380
0tvcm435klkf7ga1ea,15,9,2,1470
0tvcm435klkf7ga1ea,15,10,2,1843
0tvcm435klkf7ga1ea,15,11,2,1774
0tvcm435klkf7ga1ea,15,12,2,967
0tvcm435klkf7ga1ea,15,13,2,2961
0tvcm435klkf7ga1ea,15,14,2,2151
0tvcm435klkf7ga1ea,15,15,2,2218
0tvcm435klkf7ga1ea,15,16,1,2258
0tvcm435klkf7ga1ea,15,17,1,2506
0tvcm435klkf7ga1ea,15,18,1,2315
0tvcm435klkf7ga1ea,15,19,2,2345
0tvcm435klkf7ga1ea,15,20,2,4982
0tvcm435klkf7ga1ea,15,21,2,1458
0tvcm435klkf7ga1ea,15,22,2,2183
0tvcm435klkf7ga1ea,15,23,2,2819
0tvcm435klkf7ga1ea,15,24,2,2102
0tvcm435klkf7ga1ea,15,25,2,2536
0txkgvwsnh6lanho85,16,1,1,4081
0txkgvwsnh6lanho85,16,2,2,7039
0txkgvwsnh6lanho85,16,3,2,5603
0txkgvwsnh6lanho85,16,4,1,2660
0txkgvwsnh6lanho85,16,5,1,4480
0txkgvwsnh6lanho85,16,6,1,2580
0txkgvwsnh6lanho85,16,7,2,6621
0txkgvwsnh6lanho85,16,8,1,2825
0txkgvwsnh6lanho85,16,9,1,1990
0txkgvwsnh6lanho85,16,10,1,4171
0txkgvwsnh6lanho85,16,11,1,5830
0txkgvwsnh6lanho85,16,12,2,4358
0txkgvwsnh6lanho85,16,13,1,5041
0txkgvwsnh6lanho85,16,14,2,2546
0txkgvwsnh6lanho85,16,15,1,3166
0txkgvwsnh6lanho85,16,16,2,14437
0txkgvwsnh6lanho85,16,17,2,3216
0txkgvwsnh6lanho85,16,18,2,6193
0txkgvwsnh6lanho85,16,19,2,5923
0txkgvwsnh6lanho85,16,20,2,3960
0txkgvwsnh6lanho85,16,21,1,1893
0txkgvwsnh6lanho85,16,22,2,10197
0txkgvwsnh6lanho85,16,23,1,5421
0txkgvwsnh6lanho85,16,24,2,4733
0txkgvwsnh6lanho85,16,25,1,5905
10ylv7d7aee2xdchcn,17,1,1,6255
10ylv7d7aee2xdchcn,17,2,1,6127
10ylv7d7aee2xdchcn,17,3,2,6152
10ylv7d7aee2xdchcn,17,4,1,2879
10ylv7d7aee2xdchcn,17,5,1,3749
10ylv7d7aee2xdchcn,17,6,1,2144
10ylv7d7aee2xdchcn,17,7,2,6388
10ylv7d7aee2xdchcn,17,8,1,5317
10ylv7d7aee2xdchcn,17,9,1,6941
10ylv7d7aee2xdchcn,17,10,2,4230
10ylv7d7aee2xdchcn,17,11,1,6135
10ylv7d7aee2xdchcn,17,12,2,3255
10ylv7d7aee2xdchcn,17,13,1,4704
10ylv7d7aee2xdchcn,17,14,1,4047
10ylv7d7aee2xdchcn,17,15,1,5032
10ylv7d7aee2xdchcn,17,16,2,6017
10ylv7d7aee2xdchcn,17,17,2,4150
10ylv7d7aee2xdchcn,17,18,1,4776
10ylv7d7aee2xdchcn,17,19,2,3503
10ylv7d7aee2xdchcn,17,20,2,4429
10ylv7d7aee2xdchcn,17,21,1,2517
10ylv7d7aee2xdchcn,17,22,2,6854
10ylv7d7aee2xdchcn,17,23,1,4404
10ylv7d7aee2xdchcn,17,24,1,4309
10ylv7d7aee2xdchcn,17,25,2,3661
12f3dh2ne8sffn6bgh,18,1,1,1287
12f3dh2ne8sffn6bgh,18,2,2,1972
12f3dh2ne8sffn6bgh,18,3,1,1510
12f3dh2ne8sffn6bgh,18,4,1,1517
12f3dh2ne8sffn6bgh,18,5,1,1573
12f3dh2ne8sffn6bgh,18,6,1,6768
12f3dh2ne8sffn6bgh,18,7,2,2542
12f3dh2ne8sffn6bgh,18,8,2,2543
12f3dh2ne8sffn6bgh,18,9,2,1694
12f3dh2ne8sffn6bgh,18,10,2,2285
12f3dh2ne8sffn6bgh,18,11,1,2885
12f3dh2ne8sffn6bgh,18,12,2,1477
12f3dh2ne8sffn6bgh,18,13,1,2031
12f3dh2ne8sffn6bgh,18,14,2,1790
12f3dh2ne8sffn6bgh,18,15,1,2590
12f3dh2ne8sffn6bgh,18,16,2,7329
12f3dh2ne8sffn6bgh,18,17,2,2984
12f3dh2ne8sffn6bgh,18,18,1,2000
12f3dh2ne8sffn6bgh,18,19,2,2063
12f3dh2ne8sffn6bgh,18,20,2,4985
12f3dh2ne8sffn6bgh,18,21,2,2852
12f3dh2ne8sffn6bgh,18,22,2,6915
12f3dh2ne8sffn6bgh,18,23,1,3731
12f3dh2ne8sffn6bgh,18,24,1,1301
12f3dh2ne8sffn6bgh,18,25,1,2760
13yjz4dhaa54d8mcjs,19,1,1,1429
13yjz4dhaa54d8mcjs,19,2,2,4626
13yjz4dhaa54d8mcjs,19,3,2,3531
13yjz4dhaa54d8mcjs,19,4,1,1684
13yjz4dhaa54d8mcjs,19,5,1,2741
13yjz4dhaa54d8mcjs,19,6,1,1765
13yjz4dhaa54d8mcjs,19,7,2,3365
13yjz4dhaa54d8mcjs,19,8,1,2487
13yjz4dhaa54d8mcjs,19,9,2,3301
13yjz4dhaa54d8mcjs,19,10,2,1221
13yjz4dhaa54d8mcjs,19,11,2,1933
13yjz4dhaa54d8mcjs,19,12,2,1781
13yjz4dhaa54d8mcjs,19,13,1,6675
13yjz4dhaa54d8mcjs,19,14,2,4528
13yjz4dhaa54d8mcjs,19,15,2,2755
13yjz4dhaa54d8mcjs,19,16,2,2741
13yjz4dhaa54d8mcjs,19,17,2,2028
13yjz4dhaa54d8mcjs,19,18,1,4664
13yjz4dhaa54d8mcjs,19,19,2,2372
13yjz4dhaa54d8mcjs,19,20,2,9832
13yjz4dhaa54d8mcjs,19,21,1,1700
13yjz4dhaa54d8mcjs,19,22,1,2036
13yjz4dhaa54d8mcjs,19,23,1,14436
13yjz4dhaa54d8mcjs,19,24,2,2012
13yjz4dhaa54d8mcjs,19,25,2,3756
15yklz4y4kkmzke7cd,20,1,2,2627
15yklz4y4kkmzke7cd,20,2,1,4016
15yklz4y4kkmzke7cd,20,3,2,2430
15yklz4y4kkmzke7cd,20,4,2,2025
15yklz4y4kkmzke7cd,20,5,1,1974
15yklz4y4kkmzke7cd,20,6,1,1684
15yklz4y4kkmzke7cd,20,7,2,1889
15yklz4y4kkmzke7cd,20,8,2,2483
15yklz4y4kkmzke7cd,20,9,2,2731
15yklz4y4kkmzke7cd,20,10,1,2124
15yklz4y4kkmzke7cd,20,11,1,2416
15yklz4y4kkmzke7cd,20,12,1,3571
15yklz4y4kkmzke7cd,20,13,1,2685
15yklz4y4kkmzke7cd,20,14,2,3185
15yklz4y4kkmzke7cd,20,15,1,2415
15yklz4y4kkmzke7cd,20,16,1,2554
15yklz4y4kkmzke7cd,20,17,1,3064
15yklz4y4kkmzke7cd,20,18,2,2447
15yklz4y4kkmzke7cd,20,19,2,1983
15yklz4y4kkmzke7cd,20,20,2,1826
15yklz4y4kkmzke7cd,20,21,1,3501
15yklz4y4kkmzke7cd,20,22,1,3418
15yklz4y4kkmzke7cd,20,23,2,2086
15yklz4y4kkmzke7cd,20,24,1,2851
15yklz4y4kkmzke7cd,20,25,2,5251
17kj20zr1jgodarr0d,21,1,1,3440
17kj20zr1jgodarr0d,21,2,2,2044
17kj20zr1jgodarr0d,21,3,2,3092
17kj20zr1jgodarr0d,21,4,2,2297
17kj20zr1jgodarr0d,21,5,2,3769
17kj20zr1jgodarr0d,21,6,1,1480
17kj20zr1jgodarr0d,21,7,2,5282
17kj20zr1jgodarr0d,21,8,1,1693
17kj20zr1jgodarr0d,21,9,1,1671
17kj20zr1jgodarr0d,21,10,2,2519
17kj20zr1jgodarr0d,21,11,1,6012
17kj20zr1jgodarr0d,21,12,1,1890
17kj20zr1jgodarr0d,21,13,2,2352
17kj20zr1jgodarr0d,21,14,2,1724
17kj20zr1jgodarr0d,21,15,2,2530
17kj20zr1jgodarr0d,21,16,2,3712
17kj20zr1jgodarr0d,21,17,2,2596
17kj20zr1jgodarr0d,21,18,2,3039
17kj20zr1jgodarr0d,21,19,2,2022
17kj20zr1jgodarr0d,21,20,2,2733
17kj20zr1jgodarr0d,21,21,1,3889
17kj20zr1jgodarr0d,21,22,2,2310
17kj20zr1jgodarr0d,21,23,2,5108
17kj20zr1jgodarr0d,21,24,2,2946
17kj20zr1jgodarr0d,21,25,1,2466
1af31gj99cq63ehen1,22,1,2,4710
1af31gj99cq63ehen1,22,2,2,964
1af31gj99cq63ehen1,22,3,2,6659
1af31gj99cq63ehen1,22,4,1,2888
1af31gj99cq63ehen1,22,5,1,2198
1af31gj99cq63ehen1,22,6,2,1450
1af31gj99cq63ehen1,22,7,2,1618
1af31gj99cq63ehen1,22,8,2,2572
1af31gj99cq63ehen1,22,9,2,1143
1af31gj99cq63ehen1,22,10,1,1243
1af31gj99cq63ehen1,22,11,2,2090
1af31gj99cq63ehen1,22,12,2,2957
1af31gj99cq63ehen1,22,13,2,3811
1af31gj99cq63ehen1,22,14,2,2092
1af31gj99cq63ehen1,22,15,2,1757
1af31gj99cq63ehen1,22,16,2,3116
1af31gj99cq63ehen1,22,17,2,3779
1af31gj99cq63ehen1,22,18,2,2608
1af31gj99cq63ehen1,22,19,1,1529
1af31gj99cq63ehen1,22,20,1,2675
1af31gj99cq63ehen1,22,21,2,4050
1af31gj99cq63ehen1,22,22,1,2854
1af31gj99cq63ehen1,22,23,2,2201
1af31gj99cq63ehen1,22,24,1,933
1af31gj99cq63ehen1,22,25,1,2065
1apslmnze5z9hzml08,23,1,2,1108
1apslmnze5z9hzml08,23,2,1,8356
1apslmnze5z9hzml08,23,3,1,1004
1apslmnze5z9hzml08,23,4,1,7587
1apslmnze5z9hzml08,23,5,1,1693
1apslmnze5z9hzml08,23,6,2,2507
1apslmnze5z9hzml08,23,7,2,2666
1apslmnze5z9hzml08,23,8,1,1941
1apslmnze5z9hzml08,23,9,1,1059
1apslmnze5z9hzml08,23,10,2,3733
